name,price_eur,size_m2,plot_size_m2,free_area_m2,rooms,location,postcode,lat,lon,url,platform,property_type,description
Elegantes Landhaus im venezianischen Hinterland zwischen Jesolo und Eraclea,€ 750.000,550.0,,,15.0,Italien,,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/andere-laender/italien/elegantes-landhaus-im-venezianischen-hinterland-zwischen-jesolo-und-eraclea-777976356/,willhaben.at,Landgut,Elegantes Landhaus im venezianischen Hinterland zwischen Jesolo und Eraclea
- UNI-Real - Grandioser Meerblick inkludiert,€ 980.000,203.0,,,4.0,Italien,34151,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/andere-laender/italien/-uni-real-grandioser-meerblick-inkludiert-2094220440/,willhaben.at,Schloss,- UNI-Real - Grandioser Meerblick inkludiert
Herrschaftliches Anwesen in sonniger Aussichtslage,€ 950.000,717.0,,,0.0,Italien,33019,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/andere-laender/italien/herrschaftliches-anwesen-in-sonniger-aussichtslage-775741314/,willhaben.at,Schloss,Herrschaftliches Anwesen in sonniger Aussichtslage
Ski-in/Ski-out Chalet am Nassfeld mit Freizeitwohnsitz!,€ 892.500,86.0,,,3.0,Hermagor,,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/kaernten/hermagor/ski-in-ski-out-chalet-am-nassfeld-mit-freizeitwohnsitz-1362408639/,willhaben.at,Schloss,Ski-in/Ski-out Chalet am Nassfeld mit Freizeitwohnsitz!
Charmantes Reihenhaus in ruhiger Sackgassenlage mit traumhaften Untersbergblick,€ 588.000,105.0,,,4.0,Salzburg-Umgebung,,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/salzburg/salzburg-umgebung/charmantes-reihenhaus-in-ruhiger-sackgassenlage-mit-traumhaften-untersbergblick-1592304320/,willhaben.at,Schloss,Charmantes Reihenhaus in ruhiger Sackgassenlage mit traumhaften Untersbergblick
Großzügiges Schloss in Feketeerdő,€ 989.000,1200.0,,,0.0,Ungarn,9211,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/andere-laender/ungarn/grosszuegiges-schloss-in-feketeerd-729905519/,willhaben.at,Schloss,Großzügiges Schloss in Feketeerdő
Familienhaus bei Mattsee - hochwertiger Neubau mit noch offener Fassaden- und Balkonfertigstellung,€ 780.000,173.0,,138.0,0.0,Braunau am Inn,,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/oberoesterreich/braunau-am-inn/familienhaus-bei-mattsee-hochwertiger-neubau-mit-noch-offener-fassaden-und-balkonfertigstellung-1570847957/,willhaben.at,Reiterhof,Familienhaus bei Mattsee - hochwertiger Neubau mit noch offener Fassaden- und Balkonfertigstellung
Italien: Reiterhof mit Koppeln & Reitplatz mit ca. 25.000 m² nahe Bologna,€ 999.999,216.0,,,4.0,Italien,40069,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/andere-laender/italien/italien-reiterhof-mit-koppeln-reitplatz-mit-ca-25-000-m-nahe-bologna-759442896/,willhaben.at,Reiterhof,Italien: Reiterhof mit Koppeln & Reitplatz mit ca. 25.000 m² nahe Bologna
THE RANCH - Ein Reiterhof der Extraklasse,€ 4.950.000,319.0,,,9.0,Deutschland,93161,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/andere-laender/deutschland/the-ranch-ein-reiterhof-der-extraklasse-1496251939/,willhaben.at,Reiterhof,THE RANCH - Ein Reiterhof der Extraklasse
LIEBEVOLLES WOHNJUWEL MIT PARKÄHNLICHEM GARTEN IN TRAUMHAFTER WALDRANDLAGE MIT HERRLICHEM AUSBLICK UNWEIT VOM STAUSEE KRONSEGG,€ 347.000,123.0,,,5.0,Krems Land,,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/niederoesterreich/krems-land/liebevolles-wohnjuwel-mit-parkaehnlichem-garten-in-traumhafter-waldrandlage-mit-herrlichem-ausblick-unweit-vom-stausee-kronsegg-1128312976/,willhaben.at,Weingut,LIEBEVOLLES WOHNJUWEL MIT PARKÄHNLICHEM GARTEN IN TRAUMHAFTER WALDRANDLAGE MIT HERRLICHEM AUSBLICK UNWEIT VOM STAUSEE KRONSEGG
