stop_id,min_travel_min,stop_name,stop_lat,stop_lon
at:43:7229:0:2,73,Säusenstein Bahnhof,48.19309924,15.11360669
at:43:3991:0:1,73,Kottingneusiedl Bahnhof,48.70336672,16.46489745
at:43:7242:0:1,74,St. Valentin Bahnhof,48.17900068,14.52209302
at:43:7233:0:2,74,Blindenmarkt Bahnhof,48.12509815,14.98058416
at:43:7041:0:4,75,Aspang Markt Bahnhof,47.56230838,16.09965144
at:44:41164:0:6,75,Linz/Donau Hauptbahnhof,48.29023418,14.29189973
at:43:8769:0:2,75,Semmering Bahnhof,47.63956862,15.83077669
at:43:7112:0:4,75,Winzendorf Bahnhof,47.81107621,16.11153615
at:43:8759:0:3,75,Ternitz Bahnhof,47.71366255,16.03335577
at:43:5271:0:4,75,Wolfsthal,48.13549471,17.00614139
at:41:5143:0:1,76,Wallern im Bgld Bahnhof,47.7337979,16.93052121
at:43:7110:0:1,76,Piesting Harzwerk,47.87644956,16.13611406
at:43:4616:0:2,76,Rabensburg Bahnhof,48.65193445,16.8945886
at:43:4990:0:2,77,Theresienfeld Bahnhof,47.86034147,16.24390291
at:43:7109:0:4,78,Markt Piesting Bahnhof,47.87484078,16.12491207
at:43:4015:0:1,78,Laa/Thaya Bahnhof,48.72373885,16.40262624
at:43:8760:0:2,78,Pottschach Bahnhof,47.69718953,16.00628055
at:43:8767:0:2,79,Breitenstein Bahnhof,47.65999276,15.8202664
at:43:7113:0:1,79,Urschendorf Bahnhof,47.79737373,16.08982387
at:43:7096:0:1,80,Dreistetten Bahnhof,47.87236425,16.11073665
at:41:4464:0:1,80,Pamhagen Bahnhof,47.70432949,16.90378735
at:43:3162:0:3,81,Bernhardsthal Bahnhof,48.68738095,16.87940707
at:43:7097:0:4,82,Oberpiesting Bahnhof,47.87458168,16.09769311
at:43:7114:0:1,83,Willendorf Bahnhof,47.78920844,16.06053879
at:43:7042:0:3,84,Ausschlag-Zöbern Bahnhof,47.53292503,16.08331108
at:43:7119:0:1,85,Rothengrub Bahnhof,47.78920241,16.05107953
at:41:5288:0:1,86,Wulkaprodersdorf Haltestelle,47.79918404,16.4965451
at:43:8762:0:2,86,Schlöglmühl Bahnhof,47.68258616,15.91414035
at:43:7900:0:4,86,Waidhofen/Ybbs Bahnhof,47.96821758,14.76517714
at:43:7098:0:1,86,Wopfing Bahnhof,47.87369593,16.07709474
hu:28007:51761:0:27000407,87,Győr pályaudvar,47.68217491,17.63555498
at:41:5286:0:4,88,Wulkaprodersdorf Bahnhof,47.78941365,16.49058927
at:43:7099:0:2,88,Waldegg Bahnhof,47.86892343,16.05860741
at:43:7115:0:1,88,Unterhöflein Bahnhof,47.7905845,16.03311323
at:46:7426:0:3,89,Mürzzuschlag Bahnhof,47.60778187,15.67773072
at:43:7108:0:1,90,Waldegg-Dürnbach Bahnhof,47.86761574,16.05116936
